Region code,Region name ,Local authority code,Local authority name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
E12000005,West Midlands,E07000195,Newcastle-under-Lyme,13843,16451,15140,16214,16579,16814,17605,18720,19374,19000,20725,21574,20901,20424,20516,21258,23261,22878,20970,22312,23725,24428,24271,25601,26073,28147,31833,29993
E12000005,West Midlands,E07000196,South Staffordshire,15591,16999,17326,18104,17193,17715,17960,21607,21800,23994,22182,23819,24041,23819,22389,22327,25060,24071,25358,25396,27392,29110,27412,30899,31384,29181,33185,34273
E12000005,West Midlands,E07000197,Stafford,15116,16279,15870,17339,19891,19770,18916,20104,21665,22113,22520,22995,25360,24845,25562,24925,27255,26638,25317,27775,26529,27108,28575,28840,29689,31781,33786,35682
E12000005,West Midlands,E07000198,Staffordshire Moorlands,15512,16744,15899,17366,18461,18269,19769,18330,21491,21200,21561,23153,22408,22444,22530,26047,25772,27124,21154,25447,26049,25323,29211,28071,30202,30560,33272,29978
E12000005,West Midlands,E07000199,Tamworth,15648,17250,16637,16988,17023,18051,19953,19337,21312,21668,21194,22813,21512,21533,21853,22464,22096,23038,22845,24077,24614,24632,24066,24926,25359,30169,30698,32688
E12000005,West Midlands,E07000218,North Warwickshire,14229,15966,15780,18486,17453,17548,20450,22274,22777,23190,21005,21761,23579,23823,26762,25275,24106,22119,22134,26751,27032,26949,29031,29439,28647,31398,31650,37218
E12000005,West Midlands,E07000219,Nuneaton and Bedworth,15314,16592,15391,16022,17274,17055,18293,18168,19244,20251,21878,21601,23303,23306,22048,22613,23393,23548,22800,24001,23735,26381,25521,24951,25522,27046,30132,32451
E12000005,West Midlands,E07000220,Rugby,17265,18893,20013,18596,23046,20786,22491,23914,24514,22827,24502,26616,26464,27020,27111,27457,28231,30678,30508,30233,31161,31037,32093,34048,35745,35908,34442,37575
E12000005,West Midlands,E07000221,Stratford-on-Avon,17469,17907,19327,19883,20363,18528,21059,23774,23761,25822,25000,26110,25160,26071,25476,26968,27978,28536,27699,30188,31813,30604,27971,32069,32445,30813,33242,36358
E12000005,West Midlands,E07000222,Warwick,16504,17526,17722,18657,19786,20465,20259,22788,22595,25182,25527,26334,27263,26030,26920,26992,28600,28214,29094,29414,30740,31170,34222,33992,30594,31747,35256,37193
E12000005,West Midlands,E07000234,Bromsgrove,16378,16921,17647,17079,18053,16358,18591,19204,19742,20383,19270,21708,22115,21874,20677,22349,22111,22473,23238,24067,25875,26454,28653,28625,28584,29255,34468,32479
E12000005,West Midlands,E07000235,Malvern Hills,,14521,17002,18801,19450,15812,20053,19668,19742,21062,23067,26873,26240,21992,22871,22871,25986,24259,23234,22957,23585,23229,25769,22879,26852,29346,33195,32706
E12000005,West Midlands,E07000236,Redditch,16629,15956,16193,16883,17809,18035,18369,18931,19134,19279,19411,21097,24963,23673,22529,22065,23475,24388,23209,24482,24315,24254,25472,26984,31692,26939,32147,33992
E12000005,West Midlands,E07000237,Worcester,15601,15784,16733,17284,17264,18813,19440,19756,21616,21508,22089,22059,23239,24530,23671,25152,24595,24978,25560,26288,27564,28718,29495,28771,27978,33108,33686,36024
E12000005,West Midlands,E07000238,Wychavon,15053,16681,16921,17827,18125,17664,18277,18483,20490,19646,20118,20325,22497,22848,23634,23665,24120,24384,25483,26210,27355,27612,28034,28046,28449,30599,32559,34437
E12000005,West Midlands,E07000239,Wyre Forest,14469,16128,16389,16994,17131,17793,16982,17955,20201,19919,20442,22464,19744,19763,18662,18512,18898,20610,22177,22043,22990,21762,25852,26756,27577,27455,32924,32394
E12000005,West Midlands,E08000025,Birmingham,17083,17782,18447,19325,20601,20749,20971,21469,22659,23181,24099,24906,25500,25917,26311,26250,27244,26168,28000,28165,28848,30151,30733,33023,31987,34147,35000,37439
E12000005,West Midlands,E08000026,Coventry,16446,18022,18860,19251,20975,21805,22333,22804,24173,24413,24285,26079,25285,25187,26559,26890,29475,27377,27767,28716,29720,30945,29937,32524,33313,33715,39503,37523
E12000005,West Midlands,E08000027,Dudley,14625,16545,15927,16515,17665,18863,18483,19247,19437,19674,20384,21504,21352,21133,22298,22236,21386,22482,24335,25198,25490,26324,26762,29083,29926,30920,32156,34296
E12000005,West Midlands,E08000028,Sandwell,15163,15784,16158,17404,17848,18675,19366,19252,20581,21134,21631,23457,22519,22335,22808,23508,23989,23373,24192,23703,25022,25541,26119,27645,27547,27473,30639,32076
E12000005,West Midlands,E08000029,Solihull,18773,20344,20672,21741,22403,22812,23692,25510,25788,26229,27824,29481,29312,28525,27772,28839,29829,30034,31335,32415,33600,35454,32835,31065,35486,40743,35353,37130
E12000005,West Midlands,E08000030,Walsall,15194,15637,16108,16469,16378,17000,17466,18200,20044,20213,19666,21123,21221,22514,23274,23254,23408,25020,25594,25767,24560,25010,27493,28559,29064,29300,32204,33581
E12000005,West Midlands,E08000031,Wolverhampton,15648,16311,16592,18303,18285,19946,19371,21098,21026,22029,22341,23854,24112,24073,23703,25000,24803,23434,24336,24967,25215,26460,28445,28042,28441,30380,31771,34726
E12000006,East of England,E06000031,Peterborough,,17171,17523,17999,18300,19859,21038,20888,22148,22795,23210,24096,24768,24632,25345,25939,27036,26655,26575,26997,25591,27133,28771,29873,29937,31396,33589,34105
E12000006,East of England,E06000032,Luton,18888,19347,21291,19632,19628,21709,22791,22172,23707,24234,23795,26451,26660,26317,26277,24653,25814,25763,28729,29686,31935,29455,32243,33538,32949,32754,33639,37784
